,Unnamed: 0,songname,count,songid
65239,65239,Fight,14,s1441
65250,65250,Fight Fire With Fire,10,s1442
65279,65279,Fight Test,11,s1443
65309,65309,Fight!,10,s1444
65312,65312,Fighter,10,s1445
65324,65324,Fighting In A Sack,12,s1446
65325,65325,Fighting In Built Up Areas,11,s1447
65401,65401,Fill My Little World,10,s1448
65415,65415,Fillip,14,s1449
65554,65554,Finale,18,s1450
65571,65571,Finally,11,s1451
65602,65602,Find My Baby,11,s1452
65723,65723,Fingers In The Factories,16,s1453
65728,65728,Fingertips,14,s1454
65787,65787,Fire,50,s1455
65818,65818,Fire Coming Out Of The Monkey'S Head,22,s1456
65830,65830,Fire Fire,15,s1457
65840,65840,Fire In Cairo,10,s1458
65857,65857,Fire It Up,11,s1459
65909,65909,Firecracker,13,s1460
65920,65920,Firefly,11,s1461
65947,65947,Firestarter,15,s1462
65970,65970,Fireworks,22,s1463
65994,65994,First Breath After Coma,11,s1464
66009,66009,First Day,16,s1465
66015,66015,First Day Of My Life,22,s1466
66043,66043,First It Giveth,15,s1467
66051,66051,First Love,16,s1468
66072,66072,First Of The Gang To Die,16,s1469
66089,66089,First Snow,10,s1470
66104,66104,First Time,22,s1471
66107,66107,First Time Ever I Saw Your Face,10,s1472
66145,66145,Fish,12,s1473
66212,66212,Fistful Of Love,10,s1474
66226,66226,Fit But You Know It,10,s1475
66240,66240,Fitter Happier,22,s1476
66248,66248,Five,11,s1477
66281,66281,Five Man Army,10,s1478
66305,66305,Five String Serenade,10,s1479
66309,66309,Five To One,15,s1480
66316,66316,Five Years,13,s1481
66339,66339,Fix You,27,s1482
66463,66463,Flash,10,s1483
66486,66486,Flashback,12,s1484
66541,66541,Flathead,10,s1485
66590,66590,Flesh,10,s1486
66595,66595,Flesh And Bone,10,s1487
66663,66663,Flicks,10,s1488
66793,66793,Float,14,s1489
66797,66797,Float On,22,s1490
66835,66835,Flood,12,s1491
66877,66877,Florida,12,s1492
66914,66914,Flower,19,s1493
66935,66935,Flowers,19,s1494
66960,66960,Flowers In The Window,12,s1495
67014,67014,Flugufrelsarinn,12,s1496
67028,67028,Fluorescent Adolescent,12,s1497
67056,67056,Flutter,16,s1498
67072,67072,Fly,29,s1499
67083,67083,Fly Away,21,s1500
67106,67106,Fly Me Away,15,s1501
67113,67113,Fly Me To The Moon,12,s1502
67184,67184,Flying,14,s1503
67267,67267,Fm,11,s1504
67354,67354,Folk Death 95,10,s1505
67386,67386,Follow,16,s1506
67393,67393,Follow Me,25,s1507
67411,67411,Follow My Ruin,14,s1508
67418,67418,Follow The Cops Back Home,11,s1509
67470,67470,Folsom Prison Blues,20,s1510
67509,67509,Fool,28,s1511
67555,67555,Foolish Games,11,s1512
67564,67564,Fools Gold,13,s1513
67605,67605,Footprints,18,s1514
67778,67778,For No One,18,s1515
67794,67794,For Real,18,s1516
67798,67798,For Reasons Unknown,17,s1517
67831,67831,For The Girl,11,s1518
67887,67887,"For The Widows In Paradise, For The Fatherless In Ypsilanti",10,s1519
67901,67901,For Today I Am A Boy,13,s1520
67916,67916,For What It'S Worth,18,s1521
67920,67920,For What Reason,10,s1522
67924,67924,For Whom The Bell Tolls,16,s1523
67933,67933,For You,34,s1524
68064,68064,Forest,11,s1525
68069,68069,Forest Families,17,s1526
68094,68094,Forever,49,s1527
68150,68150,Forever For Her (Is Over For Me),10,s1528
68162,68162,Forever Lost,24,s1529
68172,68172,Forever More,10,s1530
68196,68196,Forever Young,16,s1531
68228,68228,Forget It,10,s1532
68259,68259,Forgive Me,10,s1533
68264,68264,Forgiven,14,s1534
68277,68277,Forgotten,13,s1535
68303,68303,Forgotten Works,10,s1536
68335,68335,Formed A Band,18,s1537
68365,68365,Forsaken,10,s1538
68397,68397,Fortress,11,s1539
68413,68413,Fortunate Son,16,s1540
68441,68441,Forty Six & 2,10,s1541
68562,68562,Four Horsemen,10,s1542
68568,68568,Four Kicks,10,s1543
68658,68658,Foxey Lady,10,s1544
68672,68672,Foxy Lady,20,s1545
68709,68709,Fragile,23,s1546
68817,68817,Frank Sinatra,13,s1547
68831,68831,Frankenstein,12,s1548
68852,68852,"Frankly, Mr. Shankly",13,s1549
68890,68890,Freak,17,s1550
68911,68911,Freak On A Leash,11,s1551
68913,68913,Freak Out,16,s1552
68918,68918,Freak Scene,10,s1553
69014,69014,Free,34,s1554
69034,69034,Free At Last,10,s1555
69038,69038,Free Bird,10,s1556
69155,69155,Freedom,35,s1557
69199,69199,Freedom Of Choice,10,s1558
69234,69234,Freelove,12,s1559
69437,69437,Fresh Feeling,10,s1560
69480,69480,Friction,11,s1561
69496,69496,Friday I'M In Love,20,s1562
69499,69499,Friday Night,16,s1563
69538,69538,Friend Of Mine,18,s1564
69543,69543,Friend Of The Night,11,s1565
69544,69544,Friend Or Foe,10,s1566
69565,69565,Friends,22,s1567
69604,69604,Friendship,13,s1568
69606,69606,Friendship Station,10,s1569
69608,69608,Friendship Update,12,s1570
69703,69703,From Creation,10,s1571
69753,69753,From Me To You,13,s1572
69767,69767,From Off To On,16,s1573
69824,69824,From The Inside,10,s1574
69841,69841,From The Ritz To The Rubble,21,s1575
69878,69878,From Yesterday,13,s1576
69901,69901,Frontier Psychiatrist,10,s1577
69934,69934,Frozen,29,s1578
69975,69975,Fruit Machine,12,s1579
70073,70073,Fuck Forever,16,s1580
70078,70078,Fuck Her Gently,15,s1581
70105,70105,Fuck Me Pumps,10,s1582
70143,70143,Fuck The Pain Away,10,s1583
70234,70234,Fucker,11,s1584
70251,70251,Fuckin' In The Bushes,12,s1585
70286,70286,Fuckoff Is Not The Only Thing You Have To Show,13,s1586
70299,70299,Fuel,13,s1587
70418,70418,Full Moon,11,s1588
70481,70481,Fun For Me,11,s1589
70671,70671,Funky Shit,15,s1590
70729,70729,Funny Little Frog,12,s1591
70845,70845,Future,15,s1592
70877,70877,Future Lovers,10,s1593
70889,70889,Future Proof,16,s1594
70891,70891,Future Reflections,13,s1595
70920,70920,Futures,14,s1596
71166,71166,Gabriel,23,s1597
71234,71234,Galang,10,s1598
71253,71253,Galaxy Bounce,11,s1599
71287,71287,Galvanize,14,s1600
71499,71499,Garden,11,s1601
71606,71606,Gasoline,17,s1602
71637,71637,Gatekeeper,11,s1603
71989,71989,Generation,10,s1604
72009,72009,Generator,17,s1605
72021,72021,Genesis,19,s1606
72047,72047,Genetic World,10,s1607
72062,72062,Genius,13,s1608
72194,72194,Geraldine,12,s1609
72294,72294,Get A Move On,11,s1610
72306,72306,Get Away,14,s1611
72311,72311,Get Back,21,s1612
72332,72332,Get Busy,10,s1613
72359,72359,Get Down,15,s1614
72396,72396,Get Free,10,s1615
72408,72408,Get Him Back,10,s1616
72419,72419,Get Innocuous!,16,s1617
72426,72426,Get It,10,s1618
72439,72439,Get It On,18,s1619
72455,72455,Get It Together,24,s1620
72484,72484,Get Lucky,12,s1621
72492,72492,"Get Me Away From Here, I'M Dying",11,s1622
72520,72520,Get Myself Into It,12,s1623
72530,72530,Get Off,16,s1624
72571,72571,Get On Top,11,s1625
72581,72581,Get Out,11,s1626
72619,72619,Get Over It,14,s1627
72624,72624,Get Ready,17,s1628
72638,72638,Get Rhythm,12,s1629
72641,72641,Get Right,10,s1630
72670,72670,Get The Party Started,11,s1631
72696,72696,Get Together,15,s1632
72706,72706,Get Up,18,s1633
72728,72728,Get Up Get Off,11,s1634
72829,72829,Getaway,16,s1635
72888,72888,Getting Better,14,s1636
73030,73030,Ghost,20,s1637
73058,73058,Ghost Hardware,10,s1638
73123,73123,Ghost Song,20,s1639
73128,73128,Ghost Town,11,s1640
73176,73176,Ghosts,39,s1641
73223,73223,Ghostwriter,10,s1642
73291,73291,Gideon,12,s1643
73322,73322,Gigantic,16,s1644
73401,73401,Gimme Danger,11,s1645
73409,73409,Gimme Gimme Gimme,10,s1646
73455,73455,Gimme Shelter,20,s1647
73514,73514,Gin & Milk,11,s1648
73559,73559,Girl,47,s1649
73567,73567,Girl Afraid,11,s1650
73571,73571,Girl Anachronism,11,s1651
73574,73574,Girl And The Sea,12,s1652
73631,73631,Girl Inform Me,19,s1653
73658,73658,Girl On The Wing,13,s1654
73665,73665,Girl Sailor,10,s1655
73704,73704,"Girl, You Have No Faith In Medicine",14,s1656
73706,73706,"Girl, You'Ll Be A Woman Soon",13,s1657
73715,73715,Girlfriend,23,s1658
73722,73722,Girlfriend In A Coma,23,s1659
73731,73731,Girls,32,s1660
73732,73732,Girls & Boys,19,s1661
73775,73775,Girls Just Want To Have Fun,10,s1662
73816,73816,Girls' Night Out,14,s1663
73897,73897,Give In,13,s1664
73910,73910,Give It Away,26,s1665
73916,73916,Give It To Me,19,s1666
73934,73934,Give It Up,23,s1667
73998,73998,Give Me Novacaine,13,s1668
74045,74045,Give My Love To Rose,11,s1669
74212,74212,Glamorous Indie Rock And Roll,12,s1670
74238,74238,Glass,21,s1671
74248,74248,Glass Ceiling,15,s1672
74251,74251,Glass Danse,10,s1673
74262,74262,Glass Onion,17,s1674
74298,74298,Gleaming Auction,14,s1675
74319,74319,Glide,10,s1676
74414,74414,Gloria,23,s1677
74436,74436,Glorious,16,s1678
74440,74440,Glory,16,s1679
74442,74442,Glory Box,33,s1680
74447,74447,Glory Days,11,s1681
74473,74473,Glosoli,11,s1682
74483,74483,Glow,23,s1683
74555,74555,Go,25,s1684
74573,74573,Go Away,14,s1685
74648,74648,"Go Home, Get Down",11,s1686
74660,74660,Go Let It Out,15,s1687
74688,74688,Go Slowly,10,s1688
74715,74715,Go To Sleep,22,s1689
74718,74718,Go To Sleep. (Little Man Being Erased.),10,s1690
74729,74729,Go West,12,s1691
74735,74735,Go With The Flow,30,s1692
74740,74740,Go Your Own Way,10,s1693
74777,74777,Gobbledigook,11,s1694
74787,74787,God,24,s1695
74802,74802,God Bless,10,s1696
74811,74811,God Bless The Child,10,s1697
74852,74852,God Is A Dj,11,s1698
74865,74865,God Is In The Radio,11,s1699
74873,74873,God Knows,13,s1700
74904,74904,God Only Knows,18,s1701
74912,74912,God Put A Smile Upon Your Face,21,s1702
74918,74918,God Save The Queen,24,s1703
75017,75017,Godless,12,s1704
75138,75138,Going Down,17,s1705
75160,75160,Going Home,12,s1706
75170,75170,Going Missing,15,s1707
75176,75176,Going Nowhere,22,s1708
75214,75214,Going To California,13,s1709
75241,75241,Going Under,19,s1710
75259,75259,Gold,27,s1711
75271,75271,Gold Digger,13,s1712
75287,75287,Gold Lion,18,s1713
75291,75291,Gold Mine Gutted,11,s1714
75310,75310,Golden,17,s1715
75321,75321,Golden Brown,17,s1716
75383,75383,Golden Skans,22,s1717
75386,75386,Golden Slumbers,11,s1718
75400,75400,Golden Touch,20,s1719
75404,75404,Golden Years,15,s1720
75473,75473,Gone,41,s1721
75482,75482,Gone Away,17,s1722
75491,75491,Gone Daddy Gone,16,s1723
75499,75499,Gone For Good,15,s1724
75541,75541,Gong,21,s1725
75571,75571,Gonna Leave You,12,s1726
75640,75640,Good Day,15,s1727
75643,75643,Good Day Sunshine,14,s1728
75657,75657,Good Enough,10,s1729
75672,75672,Good Fortune,14,s1730
75674,75674,Good Friday,16,s1731
75747,75747,Good Man,10,s1732
75750,75750,Good Morning,17,s1733
75796,75796,Good Night,10,s1734
75821,75821,Good People,14,s1735
75858,75858,Good Time,13,s1736
75862,75862,Good Times,22,s1737
75899,75899,Good Vibrations,12,s1738
75902,75902,Good Weekend,13,s1739
75906,75906,Good Woman,12,s1740
75918,75918,Goodbye,49,s1741
75937,75937,Goodbye Blue Sky,11,s1742
75942,75942,Goodbye Cruel World,13,s1743
75982,75982,Goodbye My Lover,18,s1744
76000,76000,Goodbye Stranger,10,s1745
76048,76048,Goodnight,12,s1746
76052,76052,Goodnight And Go,17,s1747
76060,76060,Goodnight Goodnight,16,s1748
76194,76194,Got 2 Let U,14,s1749
76226,76226,Got Ma Nuts From A Hippy,12,s1750
76244,76244,Got No Love,14,s1751
76256,76256,Got The Life,11,s1752
76292,76292,Got To Get You Into My Life,11,s1753
76436,76436,Gotta Reason,12,s1754
76452,76452,Gouge Away,12,s1755
76507,76507,Grace,35,s1756
76523,76523,Grace Kelly,19,s1757
76541,76541,Graceland,12,s1758
76561,76561,Graduation Day,12,s1759
76563,76563,Graffiti,14,s1760
76710,76710,Grass,15,s1761
76788,76788,Gravity,39,s1762
76804,76804,Gravity Rides Everything,11,s1763
76811,76811,Gravity'S Rainbow,16,s1764
76831,76831,Grazed Knees,13,s1765
76879,76879,Great Dj,18,s1766
76889,76889,Great Expectations,19,s1767
76907,76907,Great Release,11,s1768
76969,76969,Green,13,s1769
76999,76999,Green Eyes,30,s1770
77001,77001,Green Fields,10,s1771
77029,77029,Green Light,10,s1772
77046,77046,Green Onions,11,s1773
77057,77057,Green River,10,s1774
77100,77100,Greensleeves,10,s1775
77148,77148,Grey,18,s1776
77166,77166,Grey Room,10,s1777
77359,77359,Grounds For Divorce,16,s1778
77362,77362,Group Four,11,s1779
77378,77378,Grow Grow Grow,11,s1780
77645,77645,Guilty,19,s1781
77655,77655,Guilty Of Love,10,s1782
77812,77812,Guns Of Brixton,12,s1783
77965,77965,Gypsy,16,s1784
77992,77992,Gyroscope,14,s1785
78283,78283,Hair,11,s1786
78295,78295,Hair Of The Dog,10,s1787
78316,78316,Hairy Trees,17,s1788
78321,78321,Haiti,16,s1789
78368,78368,Half A Person,12,s1790
78374,78374,Half A World Away,10,s1791
78385,78385,Half Day Closing,22,s1792
78393,78393,Half Light,10,s1793
78453,78453,Halfway Home,10,s1794
78513,78513,Hallelujah,48,s1795
78557,78557,Hallowed Be Thy Name,10,s1796
78563,78563,Halloween,20,s1797
78581,78581,Hallucinations,11,s1798
78591,78591,Halo,39,s1799
78741,78741,Hand In Glove,21,s1800
78819,78819,Hands,25,s1801
78826,78826,Hands Away,20,s1802
78862,78862,Hands Open,17,s1803
78882,78882,Handshakes,12,s1804
78922,78922,Hang Me Up To Dry,11,s1805
78958,78958,Hang Wire,12,s1806
78979,78979,Hangin' Out,11,s1807
78981,78981,Hangin' Tree,17,s1808
78985,78985,Hanging Around,15,s1809
78999,78999,Hanging On The Telephone,11,s1810
79077,79077,Happiness,36,s1811
79093,79093,Happiness Is A Warm Gun,17,s1812
79117,79117,Happy,40,s1813
79124,79124,Happy Alone,10,s1814
79133,79133,Happy Birthday,16,s1815
79171,79171,Happy Ending,13,s1816
79214,79214,Happy Hour,11,s1817
79215,79215,Happy House,11,s1818
79242,79242,Happy New Year,12,s1819
79271,79271,Happy Together,12,s1820
79274,79274,Happy Up Here,11,s1821
79413,79413,Hard Times,17,s1822
79425,79425,Hard To Beat,14,s1823
79429,79429,Hard To Concentrate,10,s1824
79432,79432,Hard To Explain,20,s1825
79488,79488,"Harder, Better, Faster, Stronger",25,s1826
79615,79615,Harmony,11,s1827
79656,79656,Harrowdown Hill,14,s1828
79695,79695,Harvest,12,s1829
79703,79703,Harvest Moon,11,s1830
79737,79737,Hash Pipe,16,s1831
79801,79801,Hate,22,s1832
79852,79852,Hate This & I'Ll Love You,14,s1833
79860,79860,Hate To Say I Told You So,17,s1834
79876,79876,Hateful,14,s1835
79924,79924,Haunted,20,s1836
79975,79975,Havalina,12,s1837
79999,79999,Have A Nice Day,18,s1838
80022,80022,Have Love Will Travel,10,s1839
80037,80037,Have You Ever,13,s1840
80058,80058,Have You Got It In You?,10,s1841
80082,80082,Have Yourself A Merry Little Christmas,16,s1842
80181,80181,Haze,12,s1843
80237,80237,He Can Only Hold Her,15,s1844
80246,80246,He Doesn'T Know Why,16,s1845
80265,80265,He Knows,11,s1846
80304,80304,He Took Her To A Movie,10,s1847
80308,80308,He Turns Down,11,s1848
80315,80315,He War,14,s1849
80417,80417,Head,18,s1850
80450,80450,Head Like A Hole,17,s1851
80459,80459,Head On,10,s1852
80464,80464,Head Over Feet,13,s1853
80465,80465,Head Over Heels,20,s1854
80529,80529,Headlights,18,s1855
80537,80537,Headlock,14,s1856
80544,80544,Headphones,12,s1857
80571,80571,Headspace,10,s1858
80619,80619,Hear Me Out,19,s1859
80654,80654,Heard Them Stirring,16,s1860
80665,80665,Heart,10,s1861
80675,80675,Heart And Soul,15,s1862
80676,80676,Heart Attack,14,s1863
80700,80700,Heart In A Cage,16,s1864
80732,80732,Heart Of Glass,23,s1865
80737,80737,Heart Of Gold,16,s1866
80754,80754,Heart Of Stone,12,s1867
80801,80801,Heart-Shaped Box,22,s1868
80819,80819,Heartbeat,34,s1869
80836,80836,Heartbeats,35,s1870
80849,80849,Heartbreak Hotel,14,s1871
80858,80858,Heartbreaker,29,s1872
80907,80907,Hearts On Fire,20,s1873
80931,80931,Heat,11,s1874
80983,80983,Heaven,50,s1875
81008,81008,Heaven And Hell,14,s1876
81014,81014,Heaven Can Wait,11,s1877
81058,81058,Heaven Knows I'M Miserable Now,21,s1878
81079,81079,Heaven Sent,17,s1879
81119,81119,Heavenly,12,s1880
81143,81143,Heavy,10,s1881
81174,81174,Heavy Metal,13,s1882
81369,81369,Helena,16,s1883
81378,81378,Helicopter,32,s1884
81385,81385,Helicopter (Whitey Version),10,s1885
81409,81409,Hell,17,s1886
81477,81477,Hell Yes,10,s1887
81494,81494,Hella Good,10,s1888
81523,81523,Hello,37,s1889
81576,81576,Hello Goodbye,10,s1890
81661,81661,"Hello, I Love You",17,s1891
81686,81686,Hells Bells,11,s1892
81700,81700,Help,12,s1893
81708,81708,Help Me,16,s1894
81748,81748,Help Yourself,15,s1895
81750,81750,Help!,18,s1896
81754,81754,Helpless,12,s1897
81777,81777,Helter Skelter,23,s1898
81822,81822,Henrietta,13,s1899
81834,81834,Henry Lee,11,s1900
81957,81957,Herculean,14,s1901
81959,81959,Hercules Theme,12,s1902
81962,81962,Here,12,s1903
81975,81975,Here And Now,15,s1904
82060,82060,Here Comes The Summer,13,s1905
82061,82061,Here Comes The Sun,30,s1906
82070,82070,Here Comes Your Man,17,s1907
82081,82081,Here I Am,15,s1908
82097,82097,Here I Go Again,13,s1909
82124,82124,Here It Comes,14,s1910
82125,82125,Here It Comes Again,10,s1911
82129,82129,Here It Goes Again,12,s1912
82160,82160,Here To Stay,10,s1913
82166,82166,Here Today,11,s1914
82174,82174,Here We Go,11,s1915
82178,82178,Here We Go Again,18,s1916
82187,82187,Here With Me,11,s1917
82195,82195,Here Without You,14,s1918
82236,82236,"Here, There And Everywhere",14,s1919
82244,82244,Heresy,14,s1920
82252,82252,Heretics,10,s1921
82279,82279,Hero,23,s1922
82295,82295,Heroes,26,s1923
82319,82319,Heroin,23,s1924
82433,82433,Hey,31,s1925
82447,82447,Hey Baby,13,s1926
82459,82459,Hey Boy Hey Girl,17,s1927
82496,82496,Hey Girl,14,s1928
82525,82525,Hey Joe,24,s1929
82530,82530,Hey Jude,23,s1930
82566,82566,Hey Mama,13,s1931
82615,82615,Hey Now!,12,s1932
82654,82654,Hey There Delilah,15,s1933
82665,82665,Hey Ya!,18,s1934
82670,82670,Hey You,29,s1935
82842,82842,Hidden Place,13,s1936
82850,82850,Hidden Track,21,s1937
82867,82867,Hide And Seek,36,s1938
82894,82894,Hideaway,12,s1939
82942,82942,High,31,s1940
82955,82955,High And Dry,30,s1941
82982,82982,High Fidelity,12,s1942
83000,83000,High Hopes,21,s1943
83014,83014,High Life,18,s1944
83024,83024,High Noon,10,s1945
83053,83053,High Rise,20,s1946
83076,83076,High Speed,18,s1947
83092,83092,High Voltage,13,s1948
83107,83107,Higher,13,s1949
83114,83114,Higher Ground,20,s1950
83170,83170,Highschool Lover,13,s1951
83189,83189,Highway 61 Revisited,11,s1952
83192,83192,Highway Blues,13,s1953
83193,83193,Highway Chile,10,s1954
83206,83206,Highway To Hell,17,s1955
83313,83313,Hindsight,13,s1956
83326,83326,Hints,10,s1957
83522,83522,History,27,s1958
83542,83542,History Song,12,s1959
83554,83554,Hit,10,s1960
83614,83614,Hit The Floor,13,s1961
83626,83626,Hit The Road Jack,12,s1962
83849,83849,Hold Me,11,s1963
83863,83863,Hold Me Now,12,s1964
83893,83893,Hold On,55,s1965
83963,83963,Hold Up,13,s1966
84013,84013,Holding On,11,s1967
84020,84020,Holding Out For A Hero,19,s1968
84043,84043,Hole In The Earth,10,s1969
84045,84045,Hole In The Head,10,s1970
84049,84049,Hole In The Sky,11,s1971
84065,84065,Holiday,49,s1972
84103,84103,Holidays In The Sun,11,s1973
84121,84121,Hollaback Girl,16,s1974
84142,84142,Hollow,14,s1975
84183,84183,Hollywood,31,s1976
84214,84214,Holocaust,11,s1977
84266,84266,Holy Mountains,12,s1978
84294,84294,Holy Water,11,s1979
84310,84310,Home,58,s1980
84324,84324,Home Again,11,s1981
84365,84365,Home Of The Brave,12,s1982
84379,84379,Home Sweet Home,10,s1983
84409,84409,Homecoming,18,s1984
84431,84431,Homeless,13,s1985
84461,84461,Homesick,20,s1986
84544,84544,Honest Mistake,12,s1987
84548,84548,Honestly,10,s1988
84556,84556,Honey,31,s1989
84596,84596,Honey Honey,16,s1990
84608,84608,Honey Or Tar,10,s1991
84610,84610,Honey Pie,10,s1992
84628,84628,Honeybear,17,s1993
84655,84655,Hong Kong Garden,12,s1994
84728,84728,Hoodoo,19,s1995
84794,84794,Hope,38,s1996
84823,84823,Hope There'S Someone,19,s1997
84847,84847,Hopeless,10,s1998
84877,84877,Hoppipolla,13,s1999
84904,84904,Horizon,21,s2000
84974,84974,Horrorshow,13,s2001
84982,84982,Horse And I,10,s2002
85056,85056,Hospital Beds,11,s2003
85202,85202,Hot N Cold,10,s2004
85241,85241,Hot Stuff,13,s2005
85262,85262,Hot Topic,10,s2006
85279,85279,Hotdog,10,s2007
85282,85282,Hotel,18,s2008
85289,85289,Hotel California,20,s2009
85309,85309,Hotel Song,10,s2010
85314,85314,Hotel Yorba,13,s2011
85350,85350,Hound Dog,13,s2012
85352,85352,Hounds Of Love,26,s2013
85369,85369,Hourglass,12,s2014
85416,85416,House Of Cards,28,s2015
85432,85432,House Of Jealous Lovers,10,s2016
85461,85461,House Of The Rising Sun,24,s2017
85513,85513,How,10,s2018
85605,85605,How Deep Is Your Love,11,s2019
85660,85660,How Do You?,15,s2020
85661,85661,How Does It Feel,13,s2021
85663,85663,How Does It Feel?,11,s2022
85685,85685,How High,14,s2023
85736,85736,How Long,18,s2024
85761,85761,How Low,10,s2025
85801,85801,How My Heart Behaves,14,s2026
85821,85821,How Soon Is Now,13,s2027
85823,85823,How Soon Is Now?,21,s2028
85849,85849,How To Be Dead,16,s2029
85860,85860,How To Disappear Completely,17,s2030
85897,85897,How To Save A Life,18,s2031
85956,85956,How You Remind Me,10,s2032
86046,86046,Huddle Formation,13,s2033
86110,86110,Human,36,s2034
86119,86119,Human After All,15,s2035
86129,86129,Human Behaviour,24,s2036
86153,86153,Human Fly,11,s2037
86168,86168,Human Nature,14,s2038
86238,86238,Hummer,22,s2039
86241,86241,Humming,16,s2040
86246,86246,Hummingbird,15,s2041
86254,86254,Hump De Bump,15,s2042
86295,86295,Hung Up,23,s2043
86326,86326,Hunger,10,s2044
86368,86368,Hunted By A Freak,11,s2045
86370,86370,Hunter,37,s2046
86393,86393,Hunting Bears,19,s2047
86394,86394,Hunting For Witches,14,s2048
86398,86398,Hunting High And Low,13,s2049
86440,86440,Hurricane,25,s2050
86454,86454,Hurricane Jane,11,s2051
86476,86476,Hurt,45,s2052
86515,86515,Hush,24,s2053
86549,86549,Hustle Rose,16,s2054
86553,86553,Hustler,16,s2055
86631,86631,Hymn,16,s2056
86689,86689,Hyper Music,12,s2057
86692,86692,Hyper-Ballad,15,s2058
86697,86697,Hyperballad,12,s2059
86743,86743,Hypnotise,12,s2060
86750,86750,Hypnotize,35,s2061
86777,86777,Hysteria,37,s2062
86864,86864,I,19,s2063
86918,86918,I Am,16,s2064
86956,86956,I Am A Rock,11,s2065
87011,87011,I Am In Love With You,11,s2066
87114,87114,I Am The Resurrection,14,s2067
87124,87124,I Am The Walrus,23,s2068
87146,87146,I Am You,11,s2069
87187,87187,I Believe,35,s2070
87198,87198,I Believe In A Thing Called Love,17,s2071
87213,87213,I Believe In You,16,s2072
87231,87231,I Belong To You,13,s2073
87238,87238,I Bet You Look Good On The Dancefloor,25,s2074
87247,87247,I Bleed,15,s2075
87284,87284,I Came As A Rat,10,s2076
87342,87342,I Can Learn,11,s2077
87369,87369,I Can See For Miles,11,s2078
87394,87394,I Can'T,15,s2079
87435,87435,I Can'T Explain,12,s2080
87519,87519,I Can'T Quit You Baby,10,s2081
87538,87538,I Can'T Sleep,10,s2082
87542,87542,I Can'T Stand It,17,s2083
87578,87578,I Can'T Wait,26,s2084
87582,87582,I Can'T Win,17,s2085
87646,87646,I Constantly Thank God For Esteban,13,s2086
87673,87673,I Could Die For You,11,s2087
87724,87724,I Cried For You,12,s2088
87795,87795,I Disappear,10,s2089
87798,87798,I Do,24,s2090
87822,87822,I Do Not Want This,10,s2091
87843,87843,I Don'T Blame You,16,s2092
87846,87846,I Don'T Care,19,s2093
87872,87872,I Don'T Feel Like Dancin',10,s2094
87898,87898,I Don'T Know,36,s2095
87953,87953,I Don'T Mind,14,s2096
88073,88073,I Don'T Want To Fall In Love,10,s2097
88086,88086,I Don'T Want To Miss A Thing,10,s2098
88180,88180,I Feel Fine,10,s2099
88194,88194,I Feel It All,13,s2100
88208,88208,I Feel Love,16,s2101
88237,88237,I Feel You,30,s2102
88281,88281,I Fought The Law,20,s2103
88321,88321,I Get A Kick Out Of You,15,s2104
88325,88325,I Get Along,15,s2105
88329,88329,I Get Around,12,s2106
88475,88475,I Got This Down,10,s2107
88606,88606,I Have A Dream,12,s2108
88628,88628,I Have Forgiven Jesus,13,s2109
88688,88688,I Heard It Through The Grapevine,18,s2110
88724,88724,I Hope That I Don'T Fall In Love With You,10,s2111
88758,88758,I Just Can'T Stop Loving You,10,s2112
88773,88773,I Just Don'T Know What To Do With Myself,21,s2113
88846,88846,I Kissed A Girl,18,s2114
88866,88866,I Know,37,s2115
88899,88899,I Know It'S Over,16,s2116
89215,89215,I Love Rock 'N' Roll,12,s2117
89271,89271,I Love You,40,s2118
89384,89384,I Melt With You,16,s2119
89393,89393,I Might Be Wrong,25,s2120
89406,89406,I Miss You,37,s2121
89483,89483,I Need Love,12,s2122
89514,89514,I Need You,19,s2123
89520,89520,I Need Your Love,11,s2124
89533,89533,I Never Came,16,s2125
89587,89587,I Only Said,12,s2126
89622,89622,I Predict A Riot,32,s2127
89632,89632,I Put A Spell On You,23,s2128
89669,89669,I Remember,27,s2129
89684,89684,I Remember Nothing,11,s2130
89696,89696,I Remember You,16,s2131
89815,89815,"I See You, You See Me",11,s2132
89828,89828,I Shall Be Released,12,s2133
89861,89861,I Should Have Known Better,15,s2134
89905,89905,I Spy,18,s2135
89916,89916,I Started Something I Couldn'T Finish,11,s2136
89932,89932,I Still Haven'T Found What I'M Looking For,16,s2137
89942,89942,I Still Remember,19,s2138
90003,90003,I Think I Smell A Rat,16,s2139
90013,90013,I Think I'M Paranoid,17,s2140
90102,90102,I Turn My Camera On,13,s2141
90125,90125,I Used To Dance With My Daddy,10,s2142
90150,90150,I Walk The Line,19,s2143
90174,90174,I Wanna Be Adored,16,s2144
90190,90190,I Wanna Be Sedated,12,s2145
90204,90204,I Wanna Be Your Dog,23,s2146
90213,90213,I Wanna Be Your Lover,11,s2147
90315,90315,I Want Candy,10,s2148
90325,90325,I Want It All,24,s2149
90379,90379,I Want To Be The Boy,10,s2150
90401,90401,I Want To Hear What You Have Got To Say,10,s2151
90404,90404,I Want To Hold Your Hand,22,s2152
90410,90410,I Want To Know What Love Is,13,s2153
90430,90430,I Want To Tell You,10,s2154
90441,90441,I Want You,52,s2155
90452,90452,I Want You (She'S So Heavy),12,s2156
90454,90454,I Want You Back,11,s2157
90461,90461,I Want You Now,10,s2158
